dia,mes,ano,feriado,fp,fs,hora,sem_pas,potencia
08,10,2021,1,1,0,0.5,6141.76405,5786.36821
08,10,2021,1,1,0,1,5962.88151,5631.71806
08,10,2021,1,1,0,1.5,5946.49385,5673.89964
08,10,2021,1,1,0,2,5889.59262,5524.91952
08,10,2021,1,1,0,2.5,5816.40304,5446.35796
08,10,2021,1,1,0,3,5774.58654,5452.98135
08,10,2021,1,1,0,3.5,5710.81703,5466.21781
08,10,2021,1,1,0,4,5776.30334,5421.68252
08,10,2021,1,1,0,4.5,5777.94379,5465.49681
08,10,2021,1,1,0,5,5751.43993,5603.23596
08,10,2021,1,1,0,5.5,5688.55381,5646.75021
08,10,2021,1,1,0,6,5662.61826,5587.17624
08,10,2021,1,1,0,6.5,5867.12676,5579.1671
08,10,2021,1,1,0,7,5907.94715,5592.15279
08,10,2021,1,1,0,7.5,5996.27181,5769.09872
08,10,2021,1,1,0,8,6281.1119,5874.21203
08,10,2021,1,1,0,8.5,6447.41263,6050.24303
08,10,2021,1,1,0,9,6652.99513,6217.51025
08,10,2021,1,1,0,9.5,6616.12489,6270.66152
08,10,2021,1,1,0,10,6715.12749,6257.73205
08,10,2021,1,1,0,10.5,6717.81505,6474.65849
08,10,2021,1,1,0,11,6774.76251,6398.93447
08,10,2021,1,1,0,11.5,6804.70792,6493.10801
08,10,2021,1,1,0,12,6900.15442,6449.91588
08,10,2021,1,1,0,12.5,6762.10642,6503.76259
08,10,2021,1,1,0,13,6790.2541,6445.64349
08,10,2021,1,1,0,13.5,6695.84302,6237.40127
08,10,2021,1,1,0,14,6613.32784,6277.21719
08,10,2021,1,1,0,14.5,6801.88557,6263.05896
08,10,2021,1,1,0,15,6779.18509,6245.64445
08,10,2021,1,1,0,15.5,6785.70391,6213.90929
08,10,2021,1,1,0,16,6756.38549,6113.90884
08,10,2021,1,1,0,16.5,6754.40942,6149.15333
08,10,2021,1,1,0,17,6585.38762,6041.18252
08,10,2021,1,1,0,17.5,6672.08182,6129.1034
08,10,2021,1,1,0,18,6684.20528,6216.89243
08,10,2021,1,1,0,18.5,6933.05831,6763.52213
08,10,2021,1,1,0,19,6906.60132,6789.66047
08,10,2021,1,1,0,19.5,6871.666,6906.6657
08,10,2021,1,1,0,20,6823.17603,6858.46878
08,10,2021,1,1,0,20.5,6773.11106,6813.86467
08,10,2021,1,1,0,21,6708.82656,6807.39777
08,10,2021,1,1,0,21.5,6613.75666,6726.438
08,10,2021,1,1,0,22,6456.97565,6563.61551
08,10,2021,1,1,0,22.5,6520.51853,6490.60643
08,10,2021,1,1,0,23,6288.40464,6176.14088
08,10,2021,1,1,0,23.5,6117.82812,6112.80622
09,10,2021,0,1,0,0,6031.05725,5990.48596
09,10,2021,0,1,0,0.5,5908.11116,5830.23109
09,10,2021,0,1,0,1,5771.27602,5727.41002
09,10,2021,0,1,0,1.5,5625.15983,5581.27816
09,10,2021,0,1,0,2,5603.88438,5494.12088
09,10,2021,0,1,0,2.5,5575.81115,5381.50288
09,10,2021,0,1,0,3,5570.43358,5485.15192
09,10,2021,0,1,0,3.5,5512.87983,5474.80065
09,10,2021,0,1,0,4,5552.75052,5515.06041
09,10,2021,0,1,0,4.5,5634.58043,5538.94415
09,10,2021,0,1,0,5,5660.04529,5577.16089
09,10,2021,0,1,0,5.5,5712.5043,5510.42483
09,10,2021,0,1,0,6,5644.72105,5485.99109
09,10,2021,0,1,0,6.5,5706.39507,5420.08213
09,10,2021,0,1,0,7,5756.29475,5604.9866
09,10,2021,0,1,0,7.5,5893.0319,5793.74317
09,10,2021,0,1,0,8,6061.73295,5951.89927
09,10,2021,0,1,0,8.5,6255.23764,6113.57841
09,10,2021,0,1,0,9,6408.50372,6289.08457
09,10,2021,0,1,0,9.5,6537.32863,6355.24687
09,10,2021,0,1,0,10,6602.28816,6521.44865
09,10,2021,0,1,0,10.5,6578.81301,6507.29777
09,10,2021,0,1,0,11,6696.82396,6548.66992
09,10,2021,0,1,0,11.5,6754.57972,6556.22908
09,10,2021,0,1,0,12,6621.62676,6569.38127
09,10,2021,0,1,0,12.5,6644.83043,6564.18449
09,10,2021,0,1,0,13,6657.07473,6413.85071
09,10,2021,0,1,0,13.5,6544.59797,6391.50282
09,10,2021,0,1,0,14,6501.43478,6433.33269
09,10,2021,0,1,0,14.5,6402.85369,6458.12757
09,10,2021,0,1,0,15,6497.73228,6407.21976
09,10,2021,0,1,0,15.5,6482.20355,6444.38177
09,10,2021,0,1,0,16,6294.02408,6353.49381
09,10,2021,0,1,0,16.5,6407.53239,6350.36386
09,10,2021,0,1,0,17,6228.90494,6302.24592
09,10,2021,0,1,0,17.5,6299.69037,6291.63932
09,10,2021,0,1,0,18,6475.80747,6366.27113
09,10,2021,0,1,0,18.5,6739.34183,6636.34057
09,10,2021,0,1,0,19,6793.04,6600.33754
09,10,2021,0,1,0,19.5,6786.34671,6653.39805
09,10,2021,0,1,0,20,6742.39959,6664.34201
09,10,2021,0,1,0,20.5,6724.80391,6581.56449
09,10,2021,0,1,0,21,6715.54716,6535.01797
09,10,2021,0,1,0,21.5,6764.04305,6606.18002
09,10,2021,0,1,0,22,6560.28409,6412.87274
09,10,2021,0,1,0,22.5,6533.98262,6394.78198
09,10,2021,0,1,0,23,6397.28003,6154.83365
09,10,2021,0,1,0,23.5,6207.34289,6030.59641
10,10,2021,0,1,0,0,6082.8292,5999.33763
10,10,2021,0,1,0,0.5,5983.19634,5796.73339
10,10,2021,0,1,0,1,5894.03293,5696.76589
10,10,2021,0,1,0,1.5,5722.01194,5567.27779
10,10,2021,0,1,0,2,5618.27464,5499.82751
10,10,2021,0,1,0,2.5,5575.07436,5538.53619
10,10,2021,0,1,0,3,5644.91328,5481.62697
10,10,2021,0,1,0,3.5,5604.83318,5501.77947
10,10,2021,0,1,0,4,5571.73413,5492.55055
10,10,2021,0,1,0,4.5,5626.72843,5418.66564
10,10,2021,0,1,0,5,5630.04382,5476.79255
10,10,2021,0,1,0,5.5,5528.19373,5506.45769
10,10,2021,0,1,0,6,5494.02189,5410.72758
10,10,2021,0,1,0,6.5,5286.37325,5309.83752
10,10,2021,0,1,0,7,5327.3417,5216.85327
10,10,2021,0,1,0,7.5,5303.34962,5353.68414
10,10,2021,0,1,0,8,5349.86274,5466.38539
10,10,2021,0,1,0,8.5,5487.11795,5591.87207
10,10,2021,0,1,0,9,5641.02008,5723.9466
10,10,2021,0,1,0,9.5,5661.87146,5801.76845
10,10,2021,0,1,0,10,5738.54179,5917.56326
10,10,2021,0,1,0,10.5,5848.15396,5950.76409
10,10,2021,0,1,0,11,5914.03036,6017.7603
10,10,2021,0,1,0,11.5,5952.74098,6058.56311
10,10,2021,0,1,0,12,5874.09076,6005.47799
10,10,2021,0,1,0,12.5,5965.44522,6015.56153
10,10,2021,0,1,0,13,5903.34215,6022.45731
10,10,2021,0,1,0,13.5,5916.71859,5997.04593
10,10,2021,0,1,0,14,5857.48117,6071.56366
10,10,2021,0,1,0,14.5,5894.79612,6045.03994
10,10,2021,0,1,0,15,5843.69128,6037.12161
10,10,2021,0,1,0,15.5,5828.88008,5981.59672
10,10,2021,0,1,0,16,5839.1855,5970.78361
10,10,2021,0,1,0,16.5,5832.10282,5920.60314
10,10,2021,0,1,0,17,5858.8216,5850.91209
10,10,2021,0,1,0,17.5,5938.68087,6048.06067
10,10,2021,0,1,0,18,6198.35128,6224.97875
10,10,2021,0,1,0,18.5,6589.66101999999,6568.95413
10,10,2021,0,1,0,19,6611.55224,6617.46738
10,10,2021,0,1,0,19.5,6640.51843,6604.96593
10,10,2021,0,1,0,20,6634.13921,6677.43778
10,10,2021,0,1,0,20.5,6685.30747,6567.6806
10,10,2021,0,1,0,21,6636.08199,6544.84673
10,10,2021,0,1,0,21.5,6535.40384,6394.08359
10,10,2021,0,1,0,22,6493.87031,6342.90199
10,10,2021,0,1,0,22.5,6283.1717,6031.62752
10,10,2021,0,1,0,23,6128.86348,5996.127
10,10,2021,0,1,0,23.5,6001.69136,5698.72265
11,10,2021,1,1,0,0,5713.56237,5631.87392
11,10,2021,1,1,0,0.5,5597.61569,5396.9267
11,10,2021,1,1,0,1,5636.28989,5353.9286
11,10,2021,1,1,0,1.5,5534.10017,5214.07719
11,10,2021,1,1,0,2,5395.18316,5179.15144
11,10,2021,1,1,0,2.5,5437.3305,5133.73578
11,10,2021,1,1,0,3,5422.32814,5078.63556
11,10,2021,1,1,0,3.5,5311.60173,5059.1627
11,10,2021,1,1,0,4,5406.881,5096.21963
11,10,2021,1,1,0,4.5,5437.9866,5177.72239
11,10,2021,1,1,0,5,5374.26743,5215.41678
11,10,2021,1,1,0,5.5,5580.51297,5320.76417
11,10,2021,1,1,0,6,5527.48874,5318.94151
11,10,2021,1,1,0,6.5,5631.00294,5347.45902
11,10,2021,1,1,0,7,5776.085,5474.0592
11,10,2021,1,1,0,7.5,6018.51495,5677.96205
11,10,2021,1,1,0,8,6190.29345,5996.61598
11,10,2021,1,1,0,8.5,6507.21433,6131.2256
11,10,2021,1,1,0,9,6635.98048,6289.63182
11,10,2021,1,1,0,9.5,6641.4532,6506.74197
11,10,2021,1,1,0,10,6720.28279,6568.50261
11,10,2021,1,1,0,10.5,6830.76851,6649.38419
11,10,2021,1,1,0,11,6770.61027,6587.87667
11,10,2021,1,1,0,11.5,6946.46431,6603.39473
11,10,2021,1,1,0,12,6934.22489,6722.24946
11,10,2021,1,1,0,12.5,6934.73813,6544.77088
11,10,2021,1,1,0,13,6770.53529,6471.15346
11,10,2021,1,1,0,13.5,6826.90587,6540.89685
11,10,2021,1,1,0,14,6854.50747,6470.57037
11,10,2021,1,1,0,14.5,6819.58798,6490.14498
11,10,2021,1,1,0,15,6875.87936,6569.16425
11,10,2021,1,1,0,15.5,6786.74,6545.83428
11,10,2021,1,1,0,16,6765.86105,6465.28139
11,10,2021,1,1,0,16.5,6843.11129,6585.64092
11,10,2021,1,1,0,17,6789.18251,6427.85462
11,10,2021,1,1,0,17.5,6674.1353,6563.03161
11,10,2021,1,1,0,18,6627.9917,6577.91613
11,10,2021,1,1,0,18.5,6895.86416,6706.55022
11,10,2021,1,1,0,19,6923.13498,6760.47615
11,10,2021,1,1,0,19.5,6926.39131,6733.4317
11,10,2021,1,1,0,20,6905.00163,6717.3116
11,10,2021,1,1,0,20.5,6881.311,6685.02285
11,10,2021,1,1,0,21,6860.12293,6650.4248
11,10,2021,1,1,0,21.5,6765.97696,6624.50172
11,10,2021,1,1,0,22,6635.97426,6473.33149
11,10,2021,1,1,0,22.5,6725.77168,6350.99763
11,10,2021,1,1,0,23,6394.68336,6047.39777
11,10,2021,1,1,0,23.5,6338.51594,5865.2496
12,10,2021,0,1,0,0,6154.84924,5871.0979
12,10,2021,0,1,0,0.5,5979.11706,5765.15754
12,10,2021,0,1,0,1,5893.19012,5594.28376
12,10,2021,0,1,0,1.5,5783.90244,5474.43456
12,10,2021,0,1,0,2,5638.94244,5448.02602
12,10,2021,0,1,0,2.5,5700.10384,5404.37694
12,10,2021,0,1,0,3,5580.67615,5402.28927
12,10,2021,0,1,0,3.5,5570.04107,5375.08314
12,10,2021,0,1,0,4,5644.24983,5315.37429
12,10,2021,0,1,0,4.5,5660.46732,5394.95299
12,10,2021,0,1,0,5,5627.89192,5450.62985
12,10,2021,0,1,0,5.5,5787.88758,5528.60559
12,10,2021,0,1,0,6,5799.69593,5483.87218
12,10,2021,0,1,0,6.5,5701.56992,5384.04666
12,10,2021,0,1,0,7,5806.27595,5545.7318
12,10,2021,0,1,0,7.5,5894.01713,5810.4282
12,10,2021,0,1,0,8,6220.92158,5949.58753
12,10,2021,0,1,0,8.5,6410.72348,6306.71219
12,10,2021,0,1,0,9,6553.00375,6462.06413
12,10,2021,0,1,0,9.5,6710.1154,6453.92675
12,10,2021,0,1,0,10,6751.91159,6632.12241
12,10,2021,0,1,0,10.5,6786.66769,6634.18781
12,10,2021,0,1,0,11,6858.1038,6694.97527
12,10,2021,0,1,0,11.5,6972.27098,6657.87252
12,10,2021,0,1,0,12,6859.22301,6760.46243
12,10,2021,0,1,0,12.5,6877.92674,6742.61668
12,10,2021,0,1,0,13,6845.9869,6580.94897
12,10,2021,0,1,0,13.5,6809.75981,6613.56422
12,10,2021,0,1,0,14,6725.91421,6601.1184
12,10,2021,0,1,0,14.5,6832.47389,6615.91842
12,10,2021,0,1,0,15,6911.58796,6696.25583
12,10,2021,0,1,0,15.5,6822.1131,6587.44845
12,10,2021,0,1,0,16,6855.25695,6678.39921
12,10,2021,0,1,0,16.5,6867.52928,6667.47134
12,10,2021,0,1,0,17,6838.1827,6553.46919
12,10,2021,0,1,0,17.5,6780.50989,6601.30881
12,10,2021,0,1,0,18,6545.50806,6418.54258
12,10,2021,0,1,0,18.5,6841.28745,6750.23032
12,10,2021,0,1,0,19,6858.92482,6757.01266
12,10,2021,0,1,0,19.5,6874.99549,6778.07249
12,10,2021,0,1,0,20,6884.36987,6799.88017
12,10,2021,0,1,0,20.5,6818.02774,6734.99696
12,10,2021,0,1,0,21,6846.12242,6695.62596
12,10,2021,0,1,0,21.5,6740.46493,6672.66248
12,10,2021,0,1,0,22,6621.34678,6483.24643
12,10,2021,0,1,0,22.5,6687.68705,6420.97327
12,10,2021,0,1,0,23,6452.30628,6195.09928
12,10,2021,0,1,0,23.5,6291.44373,5970.34377
13,10,2021,0,1,0,0,6110.6195,5853.49681
13,10,2021,0,1,0,0.5,5996.36601,5780.13776
13,10,2021,0,1,0,1,5892.58378,5655.57201
13,10,2021,0,1,0,1.5,5699.94802,5478.52129
13,10,2021,0,1,0,2,5751.33877,5549.13546
13,10,2021,0,1,0,2.5,5656.41185,5522.70952
13,10,2021,0,1,0,3,5679.24889,5401.54345
13,10,2021,0,1,0,3.5,5657.13237,5481.45538
13,10,2021,0,1,0,4,5650.59806,5380.86518
13,10,2021,0,1,0,4.5,5593.50594,5495.14172
13,10,2021,0,1,0,5,5789.97836,5467.83748
13,10,2021,0,1,0,5.5,5701.41721,5509.86253
13,10,2021,0,1,0,6,5651.92266,5543.10908
13,10,2021,0,1,0,6.5,5668.4485,5509.12215
13,10,2021,0,1,0,7,5841.38282,5675.77367
13,10,2021,0,1,0,7.5,6095.08713,5972.23052
13,10,2021,0,1,0,8,6209.41291,6014.54463
13,10,2021,0,1,0,8.5,6482.67168,6341.72766
13,10,2021,0,1,0,9,6612.3671,6326.71855
13,10,2021,0,1,0,9.5,6717.3646,6540.72935
13,10,2021,0,1,0,10,6767.6562,6637.56521
13,10,2021,0,1,0,10.5,6719.78401,6696.65603
13,10,2021,0,1,0,11,6822.16257,6763.65599
13,10,2021,0,1,0,11.5,6783.96242,6771.99416
13,10,2021,0,1,0,12,6765.50871,6765.26905
13,10,2021,0,1,0,12.5,6672.79705,6737.6714
13,10,2021,0,1,0,13,6632.34586,6544.49059
13,10,2021,0,1,0,13.5,6606.23667,6596.11163
13,10,2021,0,1,0,14,6657.7469,6636.7395
13,10,2021,0,1,0,14.5,6730.26503,6632.59459
13,10,2021,0,1,0,15,6789.33121,6727.57538
13,10,2021,0,1,0,15.5,6793.35422,6659.92953
13,10,2021,0,1,0,16,6785.17673,6599.15896
13,10,2021,0,1,0,16.5,6801.45454,6568.45823
13,10,2021,0,1,0,17,6749.76585,6569.89299
13,10,2021,0,1,0,17.5,6672.32072,6521.2879
13,10,2021,0,1,0,18,6580.2278,6429.71141
13,10,2021,0,1,0,18.5,6852.84704,6740.60628
13,10,2021,0,1,0,19,6844.2626,6776.69996
13,10,2021,0,1,0,19.5,6879.94752,6754.36115
13,10,2021,0,1,0,20,6858.73353,6818.21575
13,10,2021,0,1,0,20.5,6810.25491,6758.36941
13,10,2021,0,1,0,21,6773.6866,6702.02237
13,10,2021,0,1,0,21.5,6753.99315,6661.80933
13,10,2021,0,1,0,22,6687.68352,6485.26376
13,10,2021,0,1,0,22.5,6605.74776,6424.57544
13,10,2021,0,1,0,23,6417.72939,6249.01681
13,10,2021,0,1,0,23.5,6189.64716,6031.2731
14,10,2021,0,1,0,0,6031.60386,5855.91378
14,10,2021,0,1,0,0.5,6007.85217,5831.70194
14,10,2021,0,1,0,1,5863.41321,5609.69412
14,10,2021,0,1,0,1.5,5770.39111,5577.13713
14,10,2021,0,1,0,2,5639.6813,5577.73008
14,10,2021,0,1,0,2.5,5658.24114,5510.07903
14,10,2021,0,1,0,3,5650.2522,5441.44368
14,10,2021,0,1,0,3.5,5646.67719,5383.19127
14,10,2021,0,1,0,4,5589.01913,5378.79976
14,10,2021,0,1,0,4.5,5620.45495,5470.88922
14,10,2021,0,1,0,5,5737.61885,5497.75687
14,10,2021,0,1,0,5.5,5812.11461,5488.2836
14,10,2021,0,1,0,6,5761.07224,5596.55006
14,10,2021,0,1,0,6.5,5696.16202,5502.93714
14,10,2021,0,1,0,7,5755.74025,5590.47507
14,10,2021,0,1,0,7.5,6015.29927,5865.28871
14,10,2021,0,1,0,8,6152.40649,6009.56999
14,10,2021,0,1,0,8.5,6364.25885,6312.02904
14,10,2021,0,1,0,9,6482.92737,6351.52608
14,10,2021,0,1,0,9.5,6673.55002,6477.12469
14,10,2021,0,1,0,10,6712.26459,6541.27182
14,10,2021,0,1,0,10.5,6776.17743,6613.13537
14,10,2021,0,1,0,11,6852.14423,6721.77201
14,10,2021,0,1,0,11.5,6821.4262,6714.26538
14,10,2021,0,1,0,12,6910.31823,6768.0089
14,10,2021,0,1,0,12.5,6778.75129,6730.74607
14,10,2021,0,1,0,13,6735.23604,6604.53316
14,10,2021,0,1,0,13.5,6646.95201,6590.81872
14,10,2021,0,1,0,14,6604.86865,6621.53788
14,10,2021,0,1,0,14.5,6631.68162,6684.57373
14,10,2021,0,1,0,15,6665.56135,6659.32748
14,10,2021,0,1,0,15.5,6615.48512,6648.35978
14,10,2021,0,1,0,16,6575.44023,6555.96858
14,10,2021,0,1,0,16.5,6557.4552,6647.75527
14,10,2021,0,1,0,17,6513.86042,6565.41839
14,10,2021,0,1,0,17.5,6579.08864,6446.76808
14,10,2021,0,1,0,18,6521.69513,6362.88364
14,10,2021,0,1,0,18.5,6913.00721,6796.805
14,10,2021,0,1,0,19,6930.81503,6842.06717
14,10,2021,0,1,0,19.5,6910.06201,6832.11442
14,10,2021,0,1,0,20,6896.10921,6742.1159
14,10,2021,0,1,0,20.5,6779.74814,6760.79196
14,10,2021,0,1,0,21,6775.551,6697.39443
14,10,2021,0,1,0,21.5,6635.77507,6617.38111
14,10,2021,0,1,0,22,6534.09644,6465.82139
14,10,2021,0,1,0,22.5,6392.65722,6304.01964
14,10,2021,0,1,0,23,6227.74064,6212.77984
14,10,2021,0,1,0,23.5,6085.17993,6088.08544
15,10,2021,0,1,0,0,5934.89861,5954.66958
15,10,2021,0,1,0,0.5,5786.36821,5762.86272
15,10,2021,0,1,0,1,5631.71806,5670.5408
15,10,2021,0,1,0,1.5,5673.89964,5607.95242
15,10,2021,0,1,0,2,5524.91952,5496.93765
15,10,2021,0,1,0,2.5,5446.35796,5513.18532
15,10,2021,0,1,0,3,5452.98135,5459.66935
15,10,2021,0,1,0,3.5,5466.21781,5314.29797
15,10,2021,0,1,0,4,5421.68252,5475.51631
15,10,2021,0,1,0,4.5,5465.49681,5448.48917
15,10,2021,0,1,0,5,5603.23596,5483.30962
15,10,2021,0,1,0,5.5,5646.75021,5517.11306
15,10,2021,0,1,0,6,5587.17624,5476.38844
15,10,2021,0,1,0,6.5,5579.1671,5444.2235
15,10,2021,0,1,0,7,5592.15279,5579.07773
15,10,2021,0,1,0,7.5,5769.09872,5861.69895
15,10,2021,0,1,0,8,5874.21203,5991.24294
15,10,2021,0,1,0,8.5,6050.24303,6299.06274
15,10,2021,0,1,0,9,6217.51025,6273.33866
15,10,2021,0,1,0,9.5,6270.66152,6374.56942
15,10,2021,0,1,0,10,6257.73205,6545.92208
15,10,2021,0,1,0,10.5,6474.65849,6521.22175
15,10,2021,0,1,0,11,6398.93447,6677.18663
15,10,2021,0,1,0,11.5,6493.10801,6609.03747
15,10,2021,0,1,0,12,6449.91588,6586.8064
15,10,2021,0,1,0,12.5,6503.76259,6577.35086
15,10,2021,0,1,0,13,6445.64349,6471.23862
15,10,2021,0,1,0,13.5,6237.40127,6442.68096
15,10,2021,0,1,0,14,6277.21719,6452.95104
15,10,2021,0,1,0,14.5,6263.05896,6492.95773
15,10,2021,0,1,0,15,6245.64445,6439.14274
15,10,2021,0,1,0,15.5,6213.90929,6465.78225
15,10,2021,0,1,0,16,6113.90884,6461.51684
15,10,2021,0,1,0,16.5,6149.15333,6380.6141
15,10,2021,0,1,0,17,6041.18252,6353.24864
15,10,2021,0,1,0,17.5,6129.1034,6269.84671
15,10,2021,0,1,0,18,6216.89243,6071.14652
15,10,2021,0,1,0,18.5,6763.52213,6550.42535
15,10,2021,0,1,0,19,6789.66047,6606.00087
15,10,2021,0,1,0,19.5,6906.6657,6586.81417
15,10,2021,0,1,0,20,6858.46878,6567.02243
15,10,2021,0,1,0,20.5,6813.86467,6578.68215
15,10,2021,0,1,0,21,6807.39777,6518.15094
15,10,2021,0,1,0,21.5,6726.438,6498.09444
15,10,2021,0,1,0,22,6563.61551,6386.8512
15,10,2021,0,1,0,22.5,6490.60643,6303.47562
15,10,2021,0,1,0,23,6176.14088,5976.29336
